game_name,reviews_like_rate,all_reviews_number,user_defined_tags,,
Pixel Gun 3D: PC Edition,66,38492,"Pixel Graphics, FPS",,
Disco Elysium - The Final Cut,93,101361,"RPG, Story Rich, Visual Novel, Open World",,
Assetto Corsa Competizione,92,26223,"Driving, Simulation, Sports",,
UNDER NIGHT IN-BIRTH II Sys:Celes,85,1591,"Action, Fighting, Anime, 2D",,
Senua‚Äôs Saga: Hellblade II,87,6504,"Action, Adventure, Horror, Story Rich, Simulation",,
The Binding of Isaac: Rebirth,97,310015,"Action, Roguelike, 2D",,
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,95,1368,"JRPG, Pixel Graphics, 2D, Story Rich",,
What Remains of Edith Finch,95,40161,"Story Rich, Simulation",,
Hitman: Absolution‚Ñ?93,92,42284,"Stealth, Action, Tactical",,
Path of Exile,89,234955,"Fantasy, Action, RPG",,
Timberborn,95,29377,"Early Access, Sandbox, Building, Simulation",,
Foundation,85,19017,"Building, Simulation, Strategy, Sandbox",,
That's not my Neighbor,85,1895,"Adventure, 2D, Simulation",,
Kebab Chefs! - Restaurant Simulator,86,5661,"Early Access, Simulation",,
The Banner Saga 3,80,2407,"Strategy, RPG, Turn-Based, Tactical, Story Rich",,
Aimlabs,92,124429,"FPS, Simulation",,
Prison Simulator,87,2045,"RPG, Simulation, Action, FPS",,
Dark and Darker,68,70687,"Early Access, RPG, Combat",,
Zombieville USA 3D,95,1652,"Action, Shooter, Roguelike",,
Mount & Blade: Warband,97,130799,"RPG, Open World, Strategy, Action",,
Sniper Fury,48,2724,"Action, Open World, FPS",,
Night is Coming,72,207,"Early Access, Simulation, Strategy, RPG",,
DARK SOULS‚Ñ? REMASTERED,91,83312,"Souls-like, Fantasy, RPG, Action, Combat",,
HITMAN World of Assassination,86,39436,"Stealth, Action, Sandbox, Shooter",,
The Banner Saga 2,90,3020,"RPG, Strategy, Story Rich, Turn-Based",,
Zero Hour,79,27346,"Tactical, FPS, Realistic",,
FOR HONOR‚Ñ?69,69,95858,"Stealth, Action, Tactical",,
Neverwinter,77,38559,"MMORPG, Adventure",,
Internet Cafe Simulator 2,74,11571,"Simulation, Management",,
Haste,91,5656,"Action, Roguelike, Driving",,
Cattle Country,91,36,"Simulation, RPG, Sandbox",,
Tabletop Simulator,96,42232,"Simulation, RPG, Sandbox",,
Intruder,90,5055,"Stealth, Tactical, FPS",,
Elin,93,5932,"Early Access, Open World, JRPG, Simulation",,
Death Road to Canada,93,7967,"Pixel Graphics, Roguelike, Action, RPG",,
Ryse: Son of Rome,87,34089,"Combat, Action, War, RPG",,
Yet Another Zombie Survivors,90,10128,"Early Access, Action, Roguelike, RPG",,
Tobacco Shop Simulator,93,360,Simulation,,
X-Plane 12,83,4092,"Simulation, Realistic",,
Just Shapes & Beats,97,20210,"2D, Platformer, Action",,
Gas Station Simulator,88,21629,"Simulation, Management, Building",,
Final Soccer VR,77,95,"Sports, Simulation, Action",,
Stranded Deep,75,41819,"Open World, Survival, Crafting",,
Halo Infinite,69,176626,"FPS, Action",,
The Sims‚Ñ?3,86,29687,"Simulation, Sandbox, Building",,
Persona 4 Golden,97,65272,"JRPG, Story Rich, Anime",,
DiRT Rally 2.0,89,35503,"Driving, Simulation",,
Deep Rock Galactic: Survivor,86,34999,"Early Access, Action, Roguelike",,
Into the Dead: Our Darkest Days,86,3981,"Early Access, Survival, Horror, 2.5D, Simulation, Stealth",,
Barony,92,7279,"Action, Roguelike, RPG",,
Backpack Battles,90,13642,"Early Access, Automation, Management, Roguelike, Turn-Based",,
Startup Company,81,5697,"Management, Simulation, Strategy",,
F.E.A.R. 2: Project Origin,83,4927,"Horror, FPS, Action",,
Revenge of the Savage Planet,81,576,"Adventure, Platformer",,
Survivor World,82,41,"Early Access, Survival, Platformer",,
Pillars of Eternity II: Deadfire,87,13789,"CRPG, Story Rich, Fantasy, Open World, Turn-Based",,
Skull and Bones,66,1558,"Action, RPG, Combat",,
Small Spaces,100,31,"Early Access, Simulation, Building",,
Be My Horde,88,957,"Action, Roguelike, Fantasy",,
Snowbreak: Containment Zone,77,7576,"Anime, Shooter, RPG",,
Two Point Museum,94,4416,"Simulation, Strategy, Building",,
ARK: Survival Evolved,84,547780,"Open World, Survival, Crafting",,
DCS World Steam Edition,85,37123,"Simulation, Realistic, War",,
GROUND BRANCH,89,19320,"Tactical, Realistic, FPS",,
Space Engineers 2,77,1866,"Simulation, Sandbox, Action, Strategy",,
The Mosquito Gang,75,81,"Simulation, Action",,
Clanfolk,90,2894,"Strategy, Simulation, Building",,
Sunkenland,81,18343,"Early Access, Open World, Survival, Crafting",,
Battle Talent,75,872,"Combat, Action, Sandbox, Simulation",,
MX Bikes,94,26558,"Sports, Simulation",,
Getting Over It with Bennett Foddy,82,69768,"Platformer, Horror",,
BIGFOOT,83,16539,"Early Access, Horror, Survival, Action",,
Marvel's Guardians of the Galaxy,94,30315,"Story Rich, Action, Adventure, Shooter",,
Disney Dreamlight Valley,91,18529,"Simulation, Cute, Sandbox",,
ContractVille,82,3429,"Simulation, Building",,
Survive the Nights,70,3188,"Sandbox, Adventure, FPS",,
F1¬Æ 24,74,13344,"Driving, Sports, Simulation",,
Pathologic 2,92,8513,"Story Rich, Adventure, RPG, Survival, Horror",,
Roboquest,95,16787,"FPS, Action, Roguelike",,
Beholder: Conductor,89,1464,"Simulation, Strategy, Adventure",,
Hyperdimension Neptunia Re;Birth1,94,10014,"Anime, JRPG, Cute",,
Outward Definitive Edition,73,22229,"RPG, Open World, Survival, Souls-like",,
CHANGE: A Homeless Survival Experience,91,2348,"Adventure, Management, 2D, RPG, Simulation, Roguelike",,
Soccer Manager 2025,74,1469,"Simulation, Sports",,
The Wolf Among Us,97,28798,"Adventure, Story Rich, Visual Novel",,
Big Ambitions,93,10223,"Early Access, Management, Simulation, RPG, Sandbox",,
Easy Red 2,90,7887,"War, Action, FPS, Simulation",,
Don't Starve,96,93351,"Open World, Survival, Crafting, 2D",,
VOIN,94,630,"Early Access, Action, Roguelike, RPG",,
Cuphead,96,166364,"Platformer, 2D",,
ASTRONEER,92,110132,"Open World, Survival, Crafting",,
CrossCode,92,14875,"Action, Pixel Graphics, RPG, Puzzle",,
Neighbours from Hell Compilation,97,2123,"Puzzle, 2D, Stealth, Adventure",,
The Walking Dead: Saints & Sinners,87,7209,"Action, Horror, FPS, Simulation, RPG",,
Tower of Babel: Survivors of Chaos,65,2204,"Early Access, Action, Roguelike, RPG",,
Game of Thrones Winter is Coming,60,2592,"Strategy, RPG, Simulation, Open World, Building",,
Frostpunk,92,102534,"Building, Survival, Management, Simulation, Strategy",,
House Party,86,13564,"Sexual Content, Simulation, RPG, Sandbox",,
Cat & Farm Pals,94,139,"Simulation, Strategy, Puzzle, 2D",,
The Texas Chain Saw Massacre,69,17902,"Horror, Survival, Stealth, Action",,
Life is Strange - Episode 1,96,169098,"Story Rich, Simulation",,
Watch_Dogs‚Ñ?78,78,42486,"Open World, Action, Shooter, Stealth",,
Pacify,87,31894,"Horror, Survival",,
Zombie Cure Lab,70,328,"Simulation, Survival, Building",,
F.E.A.R.,93,11890,"Horror, FPS, Action",,
Sol Cesto,97,213,"Early Access, Tactical, Puzzle, Roguelike, Turn-Based",,
Sticky Business,96,4858,"Simulation, Cute, 2D",,
Way of the Hunter,80,6547,"Adventure, FPS, Simulation, Sports",,
Assassin's Creed¬Æ III Remastered,62,11421,"Action, Adventure, Open World, RPG",,
Nine Sols,95,25750,"Souls-like, Action, 2D, Platformer",,
Job Simulator,91,3958,Simulation,,
Sephiria,91,1928,"Action, Roguelike, Fantasy",,
Lords Mobile,66,5612,"Strategy, War",,
ENDER MAGNOLIA: Bloom in the Mist,95,12461,"2D, Fantasy, Action, RPG, Souls-like",,
Bramble: The Mountain King,94,4953,"Horror, Adventure, Survival",,
Fahrenheit: Indigo Prophecy Remastered,81,5020,"Story Rich, RPG",,
I Am Cat,66,262,"Simulation, Cute",,
Trans-Siberian Railway Simulator,91,1327,"Early Access, Simulation, Action",,
Ale & Tale Tavern,88,5924,"Adventure, Simulation",,
Punch Club,82,11304,"Pixel Graphics, Management, RPG, Fighting",,
The Mortuary Assistant,92,6154,"Horror, Simulation",,
Portal 2,98,359524,"Platformer, Puzzle, Story Rich",,
Project Hospital,88,7476,"Simulation, Building, Management, Strategy",,
Goose Goose Duck,86,72453,"2D, Action, Cute",,
Tainted Grail: Conquest,90,6851,"Card Game, Fantasy, RPG",,
Tails of Iron 2: Whiskers of Winter,78,1057,"Action, Souls-like, Combat, RPG",,
Persona 5 Royal,96,68290,"JRPG, Story Rich, Anime",,
The Hundred Line -Last Defense Academy-,89,3937,"Story Rich, Adventure, Anime, Visual Novel, Simulation",,
Total War: MEDIEVAL II ‚Ä?Definitive Edition,95,24825,"Strategy, Turn-Based, War, Tactical, Simulation",,
Shin Megami Tensei V: Vengeance,93,5856,"JRPG, Story Rich, Adventure, Turn-Based",,
Shinobi Warfare,67,215,"RPG, Turn-Based, Tactical, 2D",,
Killer is Dead - Nightmare Edition,76,3658,"Action, Combat",,
DreadOut Remastered Collection,66,15,"Adventure, Survival, Horror, Puzzle",,
SpongeBob SquarePants‚Ñ? The Patrick Star Game,82,141,"Sandbox, Action, Adventure, Open World, Cute",,
Rise of the Tomb Raider‚Ñ?94,93,109985,"Adventure, Action, Story Rich, Open World",,
BattleBit Remastered,85,124519,"Early Access, FPS, War, Tactical",,
Age of Empires II (Retired),95,83416,"Strategy, Building, Management, Tactical",,
TopSpin 2K25,54,1434,"Sports, Simulation",,
Pumping Simulator,72,468,"Simulation, Management",,
The Talos Principle 2,95,11092,"Puzzle, Story Rich, Adventure, Simulation, Platformer",,
SpeedRunners,94,22539,"Platformer, 2D",,
Six Days in Fallujah,82,11615,"Early Access, Tactical, Realistic, FPS",,
ICBM: Escalation,87,777,"Strategy, War",,
Core Keeper,92,41475,"Pixel Graphics, Open World, Survival, Crafting, Sandbox",,
Cult of the Lamb,95,89488,"Building, Cute, Action, Roguelike",,
Level Devil,87,185,"2D, Platformer, Action",,
The Headliners,85,4941,"Horror, Action",,
Call of Juarez: Gunslinger,94,18457,"Action, FPS, Story Rich",,
Counter-Strike: Source,96,126155,"FPS, Action",,
Plant Tycoon,92,179,"Simulation, Management",,
Machinarium,95,14005,"Puzzle, 2D, Cute",,
MULLET MADJACK,97,6545,"FPS, Action, Anime",,
Viking Rise,72,559,"Strategy, RPG, War",,
Hero's Land,55,43720, Open World,3010000,
PANICORE,80,8735,"Horror, Action, Adventure, Roguelike",,
Pathfinder: Wrath of the Righteous - Enhanced Edition,83,29664,"Open World, RPG, Story Rich, Fantasy",,
Living With Sister: Monochrome Fantasy,96,9985,"Sexual Content, JRPG, Visual Novel, Anime",,
Gunsmith Simulator,84,2697,"Simulation, Realistic, War",,
"Good Pizza, Great Pizza - Cooking Simulator Game",88,5268,"Management, Simulation",,
Dorfromantik,96,25501,"Puzzle, Building, Simulation, Sandbox",,
Heroes of Hammerwatch II,85,3968,"RPG, Roguelike, Action, 2D",,
Unpacking,93,30144,"Cute, Pixel Graphics, Puzzle, Simulation",,
Among Us,92,615937,"2D, Cute, Survival",,
Plants vs. Zombies GOTY Edition,97,128217,"Building, Strategy",,
LISA: The Painful,95,12739,"RPG, Story Rich, Horror, 2D",,
Combat Arms: the Classic,64,1919,"Action, FPS",,
Ben 10,79,360,"Action, Adventure, Fighting",,
Darkest Dungeon¬Æ,91,129398,"Turn-Based, Combat, Fantasy, Roguelike, 2D, RPG",,
Emissary Zero,82,902,"Horror, Survival, Puzzle",,
Unturned,91,555198,"Survival, Open World, Sandbox, FPS, Crafting",,
"Love, Elections, and Chocolate",90,173,"Visual Novel, Story Rich",,
Imperator: Rome,64,18983,"Strategy, Simulation, Management, War",,
NieR Replicant‚Ñ?ver.1.22474487139...,88,19237,"Story Rich, Action, RPG",,
Supercar Collection Simulator,88,616,"Simulation, Card Game",,
Barotrauma,94,52099,"Survival, Simulation, 2D, Management",,
Car Mechanic Simulator 2021,96,28499,"Simulation, Realistic, Sandbox",,
Pro Soccer Online,90,20417,"Early Access, Sports",,
Game Dev Tycoon,95,38725,"Management, Simulation, Strategy, 2D",,
PAYDAY 2,90,435475,"Action, FPS, RPG, Stealth",,
CarX Drift Racing Online,95,77177,"Driving, Simulation",,
The Last Campfire,97,12435,"Puzzle, Adventure, Cute",,
Hotel Renovator,77,1963,"Simulation, Adventure",,
Re-Volt,91,1193,"Driving, Combat",,
Sky: Children of the Light,87,17337,"Early Access, MMORPG, Adventure",,
Vampire Therapist,96,552,"Visual Novel, Adventure, Story Rich",,
Fishing Planet,86,65530,"Simulation, Sports",,
Tiny Tina's Wonderlands,73,15829,"FPS, RPG, Adventure, Fantasy",,
Undisputed,63,16497,"Fighting, Simulation, Sports",,
"Warhammer 40,000: Dawn of War - Anniversary Edition",95,8171,"Strategy, Building, Tactical, War",,
HARD BULLET,86,4874,"Action, Simulation, Sandbox",,
KILL la KILL -IF,71,1487,"Action, Anime, Fighting, Cute",,
Gunfire Reborn,93,84902,"FPS, Roguelike",,
PAYDAY 3,42,43900,"Action, FPS, RPG, Stealth",,
Lorelei and the Laser Eyes,94,2149,"Adventure, Puzzle, Action, Horror",,
Forza Motorsport,47,9389,"Driving, Simulation",,
Oxygen Not Included,96,120184,"Simulation, Survival, Building",,
Attack on Titan 2 - A.O.T.2,93,6238,"Action, Anime, Open World, RPG, Combat",,
Assetto Corsa EVO,70,8985,"Early Access, Driving, Simulation, Sports",,
Republic of Pirates,73,314,"Strategy, Building, Simulation",,
Ship Simulator Extremes,49,1677,"Simulation, Realistic, Open World",,
Definitely Not Fried Chicken,73,1679,"Management, Simulation, Sandbox",,
No Straight Roads: Encore Edition,90,1502,"Action, Platformer, Turn-Based",,
The Walking Dead: Destinies,44,467,"Action, Adventure, Horror, Survival, Shooter",,
Sorry We're Closed,98,1146,"Survival, Horror, FPS, Fantasy",,
River City: Rival Showdown,49,156,"Action, Fighting, Pixel Graphics, 2D",,
Contagion,75,9781,"Horror, FPS, Survival",,
We Were Here Too,80,7891,"Puzzle, Horror, Adventure",,
20 Minutes Till Dawn,91,26495,"Action, Roguelike, Survival",,
I Am Future Apocalypse Survival,86,3481,"Simulation, RPG",,
Anomaly Agent,95,7886,"Action, Roguelike, 2D, Platformer, Fighting",,
Doomsday: Last Survivors,67,644,"Strategy, RPG, Survival, Building",,
Five Nights at Freddy's,93,46852,"Horror, Survival, Simulation",,
Anno 1800,81,22739,"Building, Strategy, Simulation, Management",,
Mech Builder,78,393,"Puzzle, 2D",,
Enotria: The Last Song,68,1539,"Souls-like, RPG, Combat",,
Age of Empires III: Definitive Edition,84,48251,"Strategy, Building, War, Management",,
Streets of Rogue,96,16346,"Action, Roguelike, Pixel Graphics, RPG",,
Battlefleet Gothic: Armada 2,75,8823,"Strategy, Tactical, War",,
Assassin's Creed¬Æ Odyssey,89,156220,"Open World, RPG, Action, Stealth",,
MOBILE SUIT GUNDAM BATTLE OPERATION 2,21,19982,"Shooter, Action, Combat",,
My Summer Car,94,84129,"Simulation, Driving, Open World",,
Fast Food Simulator,93,5014,"Early Access, Simulation, Management",,
Counter-Strike Nexon,66,42538,"FPS, Sandbox",,
Kerbal Space Program,95,103260,"Simulation, Sandbox, Building, Open World",,
Call of Duty¬Æ: Modern Warfare¬Æ 3 (2011),89,14041,"Action, FPS",,
Hearts of Iron III,76,4847,"Strategy, War, Simulation, Sandbox",,
City Car Driving,82,27823,"Simulation, Driving, Open World",,
Liftoff¬Æ: FPV Drone Racing,94,10721,"Simulation, Driving, Sports",,
Motorcycle Night Ride,81,95,"Simulation, Driving",,
Kabuto Park,100,25,"Cute, RPG, Simulation",,
"Warhammer 40,000: Dawn of War III",50,13306,"Strategy, Action, Simulation, Building",,
Knock on the Coffin Lid,84,2389,"Fantasy, Card Game, RPG, Roguelike, Turn-Based",,
The Killing Antidote,90,4427,"Early Access, Sexual Content, RPG, Shooter",,
STAR WARS‚Ñ?Knights of the Old Republic‚Ñ?91,90,26685,"RPG, Story Rich, Turn-Based, Adventure",,
Saleblazers,87,1297,"Early Access, Simulation, Management, Survival",,
Atlas Fallen: Reign Of Sand,72,2203,"Action, Adventure, RPG",,
Leila,90,226,"Adventure, Story Rich, 2D, Visual Novel",,
Batman - The Telltale Series,86,13337,"Adventure, Story Rich, Visual Novel",,
While We Wait Here,89,1509,"Adventure, Horror, Simulation",,
Welcome to ParadiZe,64,853,"Action, RPG, Crafting, Combat, Open World",,
Tomb Raider IV-VI Remastered,89,879,"Action, Adventure, Platformer",,
Splitgate 2 - Beta,60,4178,"Action, FPS",,
BioShock‚Ñ?94,92,24072,"FPS, Story Rich, Action, Horror",,
Ultimate Zombie Defense 2,74,224,"Early Access, Action, Survival, Horror, FPS",,
Contraband Police,94,19683,"Open World, Simulation, Action",,
Half-Life,96,104842,"FPS, Story Rich",,
Tavern Master,92,10706,"Management, Simulation, Building",,
DEATH NOTE Killer Within,87,1718,"Strategy, Simulation",,
SpellForce: Conquest of Eo,81,1862,"Strategy, RPG, Turn-Based",,
Sonic Adventure 2,90,21024,"Action, Platformer, Adventure",,
FAR: Lone Sails,95,20427,"Adventure, 2.5D, Puzzle, Platformer",,
UnderMine,91,8516,"Action, Roguelike, Pixel Graphics, RPG",,
CAPTURED,97,335,"Horror, Puzzle",,
White Knuckle,98,2689,"Early Access, Horror, Platformer, Survival",,
Total War: ATTILA,82,24886,"Strategy, War, Turn-Based, Tactical",,
King Arthur: Legion IX,73,611,"Fantasy, Tactical, RPG, Turn-Based",,
Deliver At All Costs,81,101,"Action, Story Rich, Sandbox, Simulation, Driving",,
My Dream Setup,90,4824,"Building, Sandbox, Simulation",,
My Time at Sandrock,88,22137,"Simulation, Building, RPG, Sandbox, Crafting",,
Stick Fight: The Game,93,97858,"Fighting, 2D, Shooter",,
Bloons TD 6,97,312458,"Building, Strategy",,
Expeditions: A MudRunner Game,57,2407,"Adventure, Driving, Simulation",,
The Legend of Heroes: Trails through Daybreak II,90,370,"Action, Adventure, JRPG",,
Wild Woods,77,813,"Early Access, Action, Roguelike",,
BloodRayne: Terminal Cut,91,1189,"Action, RPG, Combat",,
WolfQuest: Anniversary Edition,97,8779,"Early Access, Simulation, Survival",,
Last Call BBS,95,1089,"Puzzle, Automation, Card Game, Simulation",,
Pro Basketball Manager 2025,69,124,"Sports, Strategy, Simulation,",,
Laundry Store Simulator,84,775,"Simulation, Management",,
Atomic Heart,82,28915,"Sexual Content, FPS, Horror",,
Car Dealership Simulator,73,1722,"Simulation, Management",,
BONELAB,79,15000,"Sandbox, Action, FPS",,
Welcome to Primrose Lake,83,24,"Strategy, Adventure, Management",,
Stacklands,96,25975,"Card Game, Management, Survival, Simulation",,
South Park‚Ñ? The Fractured But Whole‚Ñ?84,83,27845,"RPG, Turn-Based",,
Call of Duty¬Æ 4: Modern Warfare¬Æ (2007),93,20141,"FPS, Action",,
L.A. Noire,85,28379,"Open World, Adventure, Action",,
Yu-Gi-Oh! Duel Links,83,43602,"Card Game, Anime, Strategy",,
Dale & Dawson Stationery Supplies,92,6693,RPG,,
"Warhammer 40,000: Speed Freeks",77,85,"Combat, Driving",,
Call of Duty¬Æ: Modern Warfare¬Æ,79,19735,"Action, FPS",,
FOREWARNED,91,4889,"Horror, Survival",,
Witchfire,92,8190,"Early Access, FPS, Fantasy, Souls-like",,
Manhunt,70,5820,"Stealth, Horror, Action",,
Tennis Elbow 4,94,602,"Simulation, Sports, Realistic",,
Life is Strange: Double Exposure,68,5766,"Story Rich, Adventure, Visual Novel",,
Granblue Fantasy: Relink,89,35547,"Anime, JRPG, Action",,
Need for Speed‚Ñ?Most Wanted,78,20157,"Simulation, Open World, Driving, Combat",,
NOISZ,96,94,"Visual Novel, 2D, Platformer",,
Amy's Greenmart,97,40,"Adventure, Management",,
Oblivity - Find your perfect Sensitivity,83,1215,"Action, Simulation, FPS",,
100% Orange Juice,93,14349,"Anime, Cute, Turn-Based, Card Game",,
Who's Your Daddy?!,80,24455,Simulation,,
Echocalypse: The Scarlet Covenant,52,342,"Anime, JRPG, Adventure, Card Game",,
Poly Bridge 3,96,1559,"Simulation, Puzzle, Building",,
Tribes of Midgard,76,16894,"Open World, Survival, Crafting",,
Bloodshed,86,539,"Roguelike, FPS, Action",,
Uncrashed : FPV Drone Simulator,93,4284,"Simulation, Sports, Driving",,
To Pixelia,70,755,"Simulation, Open World, Pixel Graphics",,
Bread & Fred,82,3639,"Cute, Pixel Graphics, 2D",,
OUTRIDERS,66,45506,"Shooter, RPG, Action, Adventure",,
Epic Auto Towers,70,643,"Early Access, Automation, Cute, Strategy, Card Game",,
THE LONGING,92,6316,"Simulation, 2D, RPG, Puzzle",,
Hell Let Loose,84,90360,"FPS, Realistic, War, Simulation",,
Rent A Car Simulator 24,65,100,"Early Access, Simulation, Driving",,
Super Bunny Man,86,8030,"Platformer, Sandbox, 2D",,
PARANOIA PLACE,88,837,"Puzzle, Survival, Horror",,
FAR: Changing Tides,92,4202,"Action, Adventure, 2.5D, Puzzle, Platformer",,
The Walking Dead: Michonne - A Telltale Miniseries,79,5442,"Adventure, Story Rich, Survival",,
Supraland,96,10361,"Puzzle, Platformer, FPS, Combat",,
Infinity Nikki,37,5250,"Open World, RPG, Fantasy, Simulation",,
Ultimate Zombie Defense,86,1352,"Action, Survival, Shooter, Building",,
SpiderHeck,94,3225,"2D, Fighting",,
The Life and Suffering of Sir Brante,90,7076,"Story Rich, RPG, Visual Novel",,
Anger Foot,93,2588,"FPS, Action, Combat",,
Homicipher,96,6148,"Horror, Visual Novel",,
Neon White,98,14862,"FPS, Platformer, Action",,
DRAGON QUEST BUILDERS‚Ñ?2,92,6149,"RPG, Open World, Survival, Crafting, Adventure, Cute",,
Supermarket Together,94,66817,"Simulation, Management",,
Legend of Heroes: Three Kingdoms,89,4434,"Early Access, Simulation, Strategy, RPG",,
PlayM2M,54,235,"Early Access, MMORPG",,
Sunset Motel,79,383,"Simulation, Management, Building",,
Car Manufacture,77,1027,"Early Access, Automation, Simulation",,
Tavern Talk,88,1182,"Fantasy, Visual Novel, 2D, Simulation",,
Sid Meier‚Äôs Civilization¬Æ VI,87,254002,"Strategy, Turn-Based, Simulation, Management",,
Katy and Bob: Safari Cafe,89,184,"Strategy, Management, Adventure, Simulation",,
Liquor Store Simulator,91,114,"Simulation, Management",,
Ravenfield,97,70183,"FPS, War",,
Tower Dominion,83,1621,"Building, Strategy, Roguelike",,
A Total War Saga: THRONES OF BRITANNIA,69,11674,"Strategy, Turn-Based, Tactical, Action",,
Kena: Bridge of Spirits,92,14452,"Souls-like, Action, Adventure",,
Drug Dealer Simulator 2,71,4579,"Open World, Simulation, RPG, Sandbox",,
Iron Harvest,74,10898,"Strategy, Building, War",,
Ten Dates,78,441,"Simulation, Visual Novel",,
Dread Dawn,72,1816,"Survival, Sandbox, RPG",,
Fantasy Map Simulator,89,2673,"Early Access, Sandbox, War, Simulation, Strategy",,
The Final Station,87,6182,"Pixel Graphics, Survival, 2D, Shooter",,
Twelve Minutes,72,6819,"Adventure, Puzzle, Story Rich",,
Mirages,76,223, RPG,45000,
DREDGE,95,36882,"Adventure, RPG, Open World, Simulation, Horror",,
Just Cause 2,90,40244,"Open World, Action, Sandbox",,
PAW Patrol World,92,75,"Sandbox, Driving, Action, Adventure",,
Idling to Rule the Gods,85,1912,"Simulation, Strategy",,
Visage,86,7826,"Horror, Simulation",,
Windblown,89,7460,"Early Access, Action, Roguelike",,
Karos,66,1130,"RPG, Action",,
Imperiums: Greek Wars,84,423,"Turn-Based, Strategy, War, Simulation",,
Shotgun King: The Final Checkmate,93,5083,"Turn-Based, Strategy, Roguelike",,
Amenti,77,1213,"Horror, Adventure, Simulation",,
Hello Neighbor: Hide and Seek,87,760,"Adventure, Horror",,
Sally Face - Episode One,97,20898,"Story Rich, Horror, Puzzle",,
Ratty Catty,67,1124,"Simulation, Cute",,
to a T,98,56,"Adventure, Puzzle",,
The House of Da Vinci 2,91,1785,"Adventure, Strategy, Puzzle",,
60 Parsecs!,90,2923,"Turn-Based, Strategy, Management, RPG, Simulation",,
Sonic the Hedgehog 4 - Episode II,78,1516,"Adventure, Platformer, 2D, Action",,
Sonic the Hedgehog 4 - Episode I,44,2289,"Platformer, 2D, Action, Adventure",,
Barbarous - Tavern Of Emyr,93,47,"Action, RPG, Simulation",,
Torchlight: Infinite,70,15430,"Action, RPG, Adventure, Combat",,
You are the Judge!,69,222,"Strategy, RPG, Adventure",,
Granny,93,5128,"Horror, Adventure, Puzzle",,
Drakensang Online,65,1825,"Action, Adventure, MMORPG",,
Blackjack 21: Blackjackist,76,43,"Card Game, Simulation, Sports",,
Tails of Iron,88,10705,"Action, RPG, Souls-like, 2D, Adventure, Combat",,
Life is Strange: Before the Storm,93,32969,"Story Rich, Adventure, Visual Novel",,
Nebel Geisterj√§ger ~ The First Lamb,86,207, Anime,11400,
Child of Light,91,11845,"RPG, Fantasy, Turn-Based",,
BlazBlue Entropy Effect,94,25502,"Roguelike, Adventure, 2D, Action, Platformer, Combat",,
Portal,98,153046,"Puzzle, Platformer",,
Deep Rock Galactic,97,273486,"FPS, Adventure, Action, Survival",,
Clustertruck,93,13509,"Platformer, Action",,
Incredibox,96,4434,"2D, Puzzle",,
Blood Strike,79,7932,"Action, FPS, Survival, Strategy",,
Hotline Miami 2: Wrong Number,94,57193,"Action, Shooter, Pixel Graphics",,
Tales of Seikyu,83,175,"Simulation, Early Access, Fantasy",,
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",81,14482,"Adventure, Driving, Simulation",,
CONERU -DIMENSION GIRL-,95,64,"2D, Platformer, Action, RPG",,
AWAKEN - Astral Blade,84,746,"Fantasy, 2D, Adventure, RPG",,
Assassin's Creed 2,89,51122,"Action, Open World, Stealth, Story Rich",,
Tricky Towers,90,11727,Puzzle,,
Sker Ritual,84,4629,"Story Rich, Survival, FPS, Horror",,
Youtubers Life 2,73,1814,Simulation,,
Pieces of me,90,90,"Horror, Simulation, Adventure, Platformer",,
Endzone - A World Apart,76,7785,"Building, Survival, Strategy, Simulation, Management, Sandbox",,
Farming & Supermarket Simulator,90,237,"Early Access, Simulation, Management",,
GUARDS!,69,390,"Fantasy, Action, Adventure, FPS",,
A Dance of Fire and Ice,94,68615,"2D, Platformer",,
Hotline Miami,97,89995,"Action, Shooter, Pixel Graphics",,
Tom Clancy‚Äôs The Division‚Ñ?71,70,73448,"Open World, Shooter, Action, RPG",,
Ghost Watchers,87,11934,"Horror, Adventure, Early Access",,
Zombie Rollerz: Pinball Heroes,85,276,"Roguelike, Action, Simulation",,
Electrician Simulator VR,64,14,Simulation,,
Ancestors: The Humankind Odyssey,80,8207,"Crafting, Survival, Open World",,
Blood Bar Tycoon,78,517,"Simulation, Strategy, Building",,
GoreBox,90,13188,"Sandbox, FPS, Simulation",,
Carpathian Night Starring Bela Lugosi,86,53,"Action, Adventure, Platformer, 2D",,
Torque Drift 2,66,239,"Early Access, Driving, Realistic, Simulation",,
Tiny Glade,97,18116,"Building, Sandbox, Simulation",,
Dealer's Life,93,1201,"Management, Simulation",,
Tape to Tape,92,2732,"Early Access, Sports, Roguelike, RPG",,
Automate It: Factory Puzzle,100,10,"Simulation, Strategy",,
Shashingo: Learn Japanese with Photography,92,515,"Simulation, Adventure",,
Project Warlock II,77,626,"FPS, Action",,
Liftoff¬Æ: Micro Drones,90,718,"Action, Simulation, Driving, Sports",,
Miscreated,66,23087,"Crafting, Survival, Open World, Simulation, FPS",,
KLETKA,92,2602,"Early Access, Horror",,
Fantasy Grounds VTT,82,719,"RPG, Strategy",,
Crysis 2 - Maximum Edition,86,9129,"Action, FPS, Stealth",,
