game_name,reviews_like_rate,all_reviews_number,user_defined_tags,,
Ravenswatch,80,11834,"Roguelike, Action, Combat, RPG",,
FINAL FANTASY XIV Online,87,73275,"MMORPG, Fantasy",,
Total War: WARHAMMER II,93,84200,"Strategy, Fantasy, Turn-Based, Action, Tactical",,
Russian Fishing 4,53,73199,"Simulation, Sports, RPG",,
Valheim,94,424593,"Early Access, Open World, Crafting, Survival, RPG, Adventure",,
"Warhammer 40,000: Darktide",71,89980,"Horror, Combat, FPS, Action",,
World of Tanks Blitz,78,148024,"Shooter, Action, Tactical, Simulation",,
Team Fortress 2,89,1160033,"Action, FPS, Tactical",,
Metaphor: ReFantazio,91,19617,"Turn-Based, Combat, JRPG, Anime, Management, Adventure",,
Once Human,74,129900,"Survival, Open World",,
Total War: WARHAMMER,78,31622,"Strategy, Fantasy, Turn-Based, Action, Tactical",,
ARMORED CORE‚Ñ?VI FIRES OF RUBICON‚Ñ?91,90,60593,"Action, Souls-like, Combat",,
GUILTY GEAR -STRIVE-,88,42263,"Fighting, 2D, Anime",,
No Man's Sky,81,265781,"Open World, Survival, Crafting, Adventure",,
Lost Ark,71,201980,"MMORPG, Action",,
SurrounDead,89,6129,"Early Access, Survival, Open World, RPG, Shooter",,
Assetto Corsa,92,117071,"Simulation, Driving",,
BeamNG.drive,97,295955,"Simulation, Driving, Realistic, Sandbox",,
FANTASY LIFE i: The Girl Who Steals Time,92,5041,"JRPG, Action, Adventure",,
Enshrouded,86,69577,"Early Access, Open World, Survival, Building, RPG, Action",,
Ready or Not,89,184548,"Tactical, Realistic, FPS, Action",,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,81,85952,"Open World, FPS, Survival, RPG, Adventure",,
Call of Duty¬Æ: Modern Warfare¬Æ II,23,7162,"Action, FPS",,
God of War Ragnar√∂k,87,20021,"Action, Adventure, RPG, Story Rich, Fantasy, Combat",,
Stardew Valley,98,754941,"Simulation, Pixel Graphics, RPG",,
Europa Universalis IV,87,88818,"Strategy, Simulation, War",,
HumanitZ,75,4310,"Early Access, Survival, Open World, Building, Crafting, RPG, Shooter",,
Manor Lords,86,60368,"Strategy, Building, Simulation, Management",,
Green Hell,86,60685,"Open World, Survival, Crafting, Simulation, Building",,
War Robots,60,26465,"Shooter, Action, Combat",,
Cities: Skylines II,53,51008,"Simulation, Building, Sandbox",,
Undertale,96,242367,"Story Rich, 2D, RPG",,
The Evil Within 2,91,18163,"Horror, Survival, Story Rich, Open World, Shooter",,
Sea of Thieves: 2025 Edition,89,306357,"Open World, Adventure",,
Backrooms: Escape Together,87,19192,"Early Access, Horror, Survival, Realistic",,
DYSMANTLE,91,10028,"Survival, Open World, Crafting, RPG, Simulation",,
The First Descendant,56,103195,"Sexual Content, RPG, Shooter, Action",,
Age of Empires II: Definitive Edition,94,141944,"Strategy, Building, Management, Tactical",,
Granblue Fantasy Versus: Rising,82,4703,"2D, Action, Anime, Fighting",,
Balatro,97,122029,"Card Game, Roguelike, Strategy",,
Infection Free Zone,78,12661,"Early Access, Building, Simulation, Management, Survival",,
Farming Fever - Pizza and Burger Cooking game,73,295,"Simulation, Management",,
Eternal Return,79,64919,"Anime, Survival, Action, Combat",,
JDM: Japanese Drift Master,73,1455,"Driving, Simulation, Open World",,
Palworld,94,321381,"Open World, Survival, Crafting, RPG",,
7 Days to Die,88,252541,"Survival, Open World, Crafting, Building, FPS ,RPG",,
REMNANT II¬Æ,83,40787,"Souls-like, Action, Adventure, RPG",,
Red Dead Redemption,92,9611,"Open World, Story Rich, Shooter, Action",,
World of Tanks,82,87602,"Action, Simulation, Tactical, War",,
Infinity Kingdom,63,722,"Strategy, War, Tactical, RPG",,
Farming Simulator 25,83,21481,"Simulation, Realistic, Building",,
The First Berserker: Khazan,89,11570,"Souls-like, Action, Adventure, RPG, Fantasy",,
Victoria 3,69,33809,"Strategy, Management, Simulation",,
Resident Evil 4,97,117271,"Horror, Action, Survival",,
RimWorld,97,177881,"Building, Survival, Strategy, Sandbox, Simulation",,
Back 4 Blood,68,51641,"FPS, Action, Horror",,
FragPunk,73,38634,"FPS, Action",,
Kingdom Come: Deliverance II,93,75727,"RPG, Open World, Realistic, Combat",,
Brawlhalla,81,386127,"Fighting, 2D, Platformer",,
Monster Train 2,95,2408,"Strategy, Card Game, Roguelike, Turn-Based",,
Legacy of Kain‚Ñ?Soul Reaver 1&2 Remastered,91,2297,"Action, Adventure, Fantasy, Combat, Platformer",,
Vampire Survivors,98,237356,"Action, Roguelike, Pixel Graphics, 2D, RPG",,
Underground Garage,75,426,"Simulation, Driving, Open World",,
Sons Of The Forest,87,224834,"Survival, Open World",,
The Walking Dead: The Final Season,94,15319,"Story Rich, Adventure, Survival, Visual Novel, Horror",,
Taxi Life: A City Driving Simulator,61,2712,"Driving, Simulation, Open World",,
The Evil Within,84,19028,"Survival, Horror, Stealth, Shooter",,
Apocalypse Party,72,4294,"Action, Roguelike, Combat, Strategy",,
Call of Duty¬Æ: Modern Warfare¬Æ III,32,11959,"Action, FPS",,
Vampyr,77,17083,"RPG, Story Rich, Action, Open World",,
Oddsparks: An Automation Adventure,87,1156,"Building, Simulation, Automation, Management",,
Street Fighter‚Ñ?6,84,35402,"Fighting, Action",,
Planet Zoo,91,72727,"Management, Simulation, Building, Sandbox",,
Dead Cells,97,143257,"Adventure, Action, Roguelike, 2D, Souls-like, Combat",,
Zula T√ºrkiye,47,17495,"FPS, Action",,
Raft,93,294811,"Open World, Survival",,
Evil West,74,7970,"Combat, Action, Adventure ,RPG",,
The Forest,95,533054,"Survival, Open World, Crafting, Adventure, Simulation",,
FINAL FANTASY VII REMAKE INTERGRADE,88,31359,"Action, JRPG",,
The Quarry,82,11630,"Horror, Visual Novel",,
Chained Together,90,45202,"Adventure, Platformer, Simulation",,
Hunt: Showdown 1896,73,192512,"Open World, FPS, Tactical, Horror",,
DEVOUR,91,63974,"Horror, Survival",,
Pummel Party,89,42731,"Action, Adventure",,
JudgeSim,85,864,"Simulation, 2D",,
Gang Beasts,85,48709,"Action, Adventure, Simulation",,
Assassin's Creed Valhalla,70,28623,"Open World, Action, Adventure, RPG",,
Tom Clancy's Ghost Recon¬Æ Wildlands,80,82334,"Open World, Shooter, Stealth, Tactical",,
Dead Island Definitive Edition,82,21678,"Open World, Survival, Action, Crafting, RPG, Horror",,
The Walking Dead: Season Two,96,24594,"Adventure, Story Rich, Survival, Horror",,
Call of Duty¬Æ,55,387000,"FPS, Action",,
Risk of Rain 2,93,211816,"Shooter, Action, Roguelike",,
Football Life Simulator,73,806,"Simulation, Sports",,
Days Gone,92,72470,"Open World, Survival, Shooter, Story Rich, Action",,
The Elder Scrolls V: Skyrim Special Edition,94,188895,"Open World, RPG, Adventure",,
Overwatch¬Æ 2,23,342619,"Action, Shooter",,
Teardown,95,102037,"Sandbox, Simulation, Open World",,
Ben and Ed,82,3719,"Action, Platformer",,
Cinema Simulator 2025,79,309,"Early Access, Simulation, Management",,
Cash Cleaner Simulator,87,2356,"Management, Simulation",,
Graveyard Keeper,86,34906,"Pixel Graphics, Crafting, RPG, Simulation",,
DRAGON QUEST III HD-2D Remake,71,2942,"JRPG, Pixel Graphics, 2.5D",,
Satisfactory,97,195661,"Building, Automation, Open World, Crafting, Simulation",,
Phasmophobia,96,625568,"Early Access, Horror",,
The Precinct,85,4173,"Sandbox, Open World, Simulation",,
Slay the Spire,97,157353,"Roguelike, Turn-Based, Card Game, Strategy",,
Last Epoch,79,99043,"Action, Combat, RPG",,
The Walking Dead: A New Frontier,82,13825,"Story Rich, Adventure, Survival, Visual Novel, Horror",,
STAR WARS‚Ñ?Battlefront‚Ñ?II,87,59652,"Action, FPS, Combat, Adventure",,
The Isle,81,87135,"Early Access, Survival, Open World, Simulation",,
Fallout 76,75,66166,"Open World, RPG, FPS, Building",,
RIDE 4,83,9275,"Sports, Driving, Simulation",,
NARAKA: BLADEPOINT,74,283401,"Action, Adventure, Survival",,
Firestone: Online Idle RPG,77,6289,"RPG, Action, 2D, Simulation, Automation",,
Factorio,97,170989,"Automation, Building, Management, Strategy, Simulation",,
Chivalry 2,81,36497,"Combat, Action, War",,
Total War: EMPIRE ‚Ä?Definitive Edition,89,19542,"Strategy, Turn-Based, Tactical, War",,
Gray Zone Warfare,67,53594,"Early Access, Tactical, FPS, War",,
Workers & Resources: Soviet Republic,91,19866,"Strategy, Simulation, Building",,
The Quinfall,47,5774,"Early Access, MMORPG",,
Terraria,97,1120735,"Open World, Survival, Crafting, Sandbox, 2D",,
Bellwright,80,11199,"Early Access, Survival, Open World, Crafting, RPG, Simulation",,
God of War,96,110701,"Action, Story Rich, RPG, Story Rich, Combat",,
Call of Duty¬Æ: Black Ops Cold War,80,18324,"FPS, Action",,
ONE PIECE: PIRATE WARRIORS 4,91,15759,"Anime, Combat, Fighting",,
MapleStory,63,13837,"MMORPG, 2D, Platformer",,
A Little to the Left,92,11994,"Puzzle, Cute, 2D",,
TEKKEN 8,54,36440,"Fighting, Action",,
DOOM,95,142159,"FPS, Action, Horror",,
Aviassembly,97,3678,"Early Access, Building, Crafting, Simulation",,
inZOI,79,18827,"Simulation, Realistic, Sandbox",,
Age of Mythology: Retold,90,15150,"Strategy, Story Rich, Building, Management",,
"Ranch Simulator: Build, Hunt, Farm",80,29776,"Simulation, Management, Realistic, Open World",,
"Warhammer 40,000: Gladius - Relics of War",82,7339,"Strategy, Turn-Based",,
Magic: The Gathering Arena,63,18993,"Strategy, Card Game, Turn-Based",,
Grand Theft Auto IV: The Complete Edition,82,153159,"Open World, Action, Shooter, Driving, Sandbox",,
Battlefield‚Ñ?2042,49,233767,"FPS, War",,
IdleOn - The Idle RPG,79,21616,"Early Access, Pixel Graphics, MMORPG, 2D",,
FINAL FANTASY VII REBIRTH,77,14092,"Adventure, Action, JRPG",,
ULTRAKILL,97,148691,"FPS, Action",,
Cities: Skylines,92,206409,"Simulation, Building, Management",,
Killing Floor 2,88,83850,"FPS, Survival, Horror",,
CarX Street,70,10068,"Driving, Open World",,
Microsoft Flight Simulator 40th Anniversary Edition,79,62842,"Simulation, Realistic",,
Ben and Ed - Blood Party,88,2078,"Action, Platformer, Horror",,
SILENT HILL 2,95,28252,"Horror, Survival, Story Rich, Combat, Shooter",,
Triple Fantasy,68,140,"Card Game, Turn-Based, RPG",,
WWE 2K25,67,1666,"Simulation, Sports, Realistic",,
Grand Theft Auto V Enhanced,69,50273,"Open World, Action, Shooter, Driving, Sandbox",,
Night of the Dead,78,9911,"Open World, Survival, Crafting, Building",,
DAVE THE DIVER,97,116430,"Pixel Graphics, Management, Adventure, RPG, Simulation",,
Buckshot Roulette,96,83528,"Horror, Strategy, Simulation",,
Don't Starve Together,95,341146,"Open World, Survival, Crafting",,
Blacksmith Master,84,802,"Strategy, Simulation, Management, Building",,
Age of History 3,87,12175,"War, Strategy, 2D, Simulation, Tactical, Management",,
Bodycam,74,31734,"Early Access, FPS, Realistic, Simulation, Tactical",,
A Quiet Place: The Road Ahead,76,1659,"Stealth, Survival, Horror, Simulation",,
Sid Meier's Civilization VII,48,31852,"Strategy, War, Simulation",,
Tinkerlands,83,590,"Open World, Survival, Crafting, Sandbox",,
Stellaris,87,127236,"Strategy, Sandbox, Simulation, Management",,
ONE PIECE Bounty Rush,67,2587,"Action, Anime",,
Morimens,78,1888,"Strategy, Card Game, Turn-Based, RPG",,
Zombie Army Trilogy,86,13445,"Action, Horror, Shooter",,
Liar's Bar,91,41897,"Strategy, Early Access, Simulation",,
The Sims‚Ñ?4,87,170112,"Simulation, Sandbox, Building",,
Resident Evil 2,97,117972,"Survival, Horror, Shooter, Puzzle, Action",,
Worshippers of Cthulhu,87,883,"Simulation, Sandbox, Management, Building, Strategy",,
The Midnight Walk,94,804,"Adventure, Horror, Fantasy, Stealth",,
MotoGP‚Ñ?4,83,696,"Realistic, Simulation, Driving, Sports",,
Party Animals,80,46647,"Cute, Fighting, Driving",,
THE FINALS,77,230366,"FPS, Action, Tactical",,
Grand Theft Auto: San Andreas ‚Ä?The Definitive Edition,77,8498,"Sexual Content, Open World, Action, Shooter, Sandbox",,
Lies of P,91,38386,"Souls-like, Action, Fantasy, RPG",,
March of Empires,64,1681,"War, Strategy, Building, RPG",,
DRAGON QUEST¬Æ XI S: Echoes of an Elusive Age‚Ñ?- Definitive Edition,93,8648,"JRPG, Turn-Based, Combat, Story Rich",,
Cartel Tycoon,75,2609,"Management, Survival, Simulation, Strategy",,
theHunter: Call of the Wild‚Ñ?89,88,148179,"Open World, FPS, Simulation, Sports, Stealth, Sandbox",,
DOOM Eternal,91,174979,"FPS, Action",,
Sleeping Dogs: Definitive Edition,93,60607,"Open World, Action, Driving, Fighting, Sandbox",,
Automobilista 2,92,7994,"Driving, Simulation, Sports",,
X4: Foundations,78,19785,"Simulation, Sandbox, Management, Building, Open World",,
High On Life,89,15930,"FPS, Story Rich, Action",,
ARK: Survival Ascended,59,68681,"Early Access, Survival, Open World",,
The Crew‚Ñ?2,78,81015,"Driving, Open World, Simulation",,
Fallout 4,83,261524,"Open World, RPG, FPS, Adventure",,
Asphalt Legends Unite,81,13533,"Driving, Simulation, Realistic, Sports",,
Blue Prince,86,7124,"Puzzle, Strategy, Story Rich",,
Potion Craft: Alchemist Simulator,92,31584,"Crafting, Simulation, Management, RPG, Sandbox",,
BioShock Infinite,93,105507,"FPS, Story Rich, Action, Adventure",,
Arma 3,90,215650,"Action, FPS, Simulation, Open World",,
Lethal Company,97,392348,"Action, Horror, Adventure, Early Access",,
ICARUS,73,37734,"Survival, Open World, Crafting",,
Warhammer: Vermintide 2,84,85277,"Fantasy, Action, RPG, Combat",,
Space Engineers,89,96628,"Sandbox, Building, Survival, Simulation",,
No Rest for the Wicked,77,40662,"Early Access, Open World, Souls-like, Action, RPG",,
Survive the Fall,70,241,"Survival, Building, Open World",,
Fuel Harvest Together,80,291,"Early Access, Simulation, Management, Crafting",,
WorldBox - God Simulator,95,38793,"Early Access, Sandbox, Simulation, Pixel Graphics, Management",,
Hollow Knight,97,369798,"Souls-like, Platformer, 2D",,
Sifu,92,15531,"Action, Souls-like, Combat, Fighting",,
Darkest Dungeon¬Æ II,75,19751,"Turn-Based, Tactical, Roguelike, RPG",,
Fernbus Simulator,71,7324,"Simulation, Driving, Realistic, Open World",,
The Incredible Adventures of Van Helsing,83,7521,"RPG, Action, Combat",,
Business Tour - Board Game with Online Multiplayer,60,76716,"Strategy, Simulation, Management",,
Vindictus,67,7791,"Action, Adventure, MMORPG, Fantasy",,
Zort,93,6527,"Early Access, Horror",,
Hello Neighbor,86,14934,"Horror, Sandbox, Stealth",,
Crime Scene Cleaner,97,20657,"Simulation, Action",,
Killing Floor,95,38257,"FPS, Survival, Horror",,
Poppy Playtime,85,98721,"Horror, Puzzle, Survival",,
Sniper Elite: Resistance,71,2620,"Action, Adventure, Shooter, War",,
Zombie Army 4: Dead War,86,7592,"Action, Shooter, Horror",,
Starfield,58,108273,"Open World, RPG, Action, Story Rich",,
"Warhammer 40,000: Boltgun",91,13252,"FPS, Action",,
Dead Frontier 2,70,26763,"Survival, Horror, Shooter, MMORPG, Survival",,
Feign,91,4172,"Early Access, Strategy, 2D, RPG",,
Road 96,91,17998,"Adventure, Story Rich, RPG",,
Onimusha 2: Samurai's Destiny,87,232,"Action, Fantasy, Horror, RPG",,
The Anomaly Project,81,244,"Adventure, Horror, Simulation",,
Wolfenstein: The Old Blood,89,15607,"FPS, Action, War, Stealth",,
Skill Legends Royale,77,2026,"Automation, Turn-Based, Strategy, Roguelike",,
The Sims‚Ñ?2 Legacy Collection,62,2804,"Sandbox, Building, Simulation",,
60 Seconds! Reatomized,94,15726,"2D, Adventure, Sandbox, Simulation",,
Witch It,89,14048,"Action, Stealth, Survival",,
"Warhammer 40,000: Warpforge",52,2748,"Turn-Based, Strategy, Card Game",,
Hello Neighbor 2,77,2751,"Adventure, Puzzle, Horror, Stealth",,
Punch Club 2: Fast Forward,82,3115,"Management, Pixel Graphics, Simulation, RPG, Fighting",,
Another Try 2,46,550,"Early Access, Adventure, Survival",,
The Long Dark,90,98270,"Survival, Crafting, Open World",,
Just Cause‚Ñ?3,84,99079,"Open World, Action, Shooter, Sandbox",,
People Playground,98,263759,"Sandbox, Simulation, Building",,
STAR WARS‚Ñ? The Old Republic‚Ñ?89,88,67636,"MMORPG, Open World",,
DEATH STRANDING DIRECTOR'S CUT,92,28614,"Story Rich, Open World, Simulation, Action, Adventure",,
IfSunSets,73,1439,"Early Access, Combat, Adventure, RPG",,
DARK SOULS‚Ñ?III,94,262157,"Souls-like, Fantasy, RPG, Combat",,
Overcooked! 2,90,52942,"Action, Simulation",,
"Warhammer 40,000: Inquisitor - Martyr",75,18516,"RPG, Action",,
Crossout,75,64064,"Driving, Combat, Crafting, Sandbox",,
Travellers Rest,88,12597,"Early Access, Pixel Graphics, Management, RPG, Simulation",,
Escape Simulator,94,14666,"Puzzle, Simulation, Adventure",,
Total War: PHARAOH,64,3345,"Strategy, Tactical, Action, War, Management",,
Pushing it! Together - Sisyphus Co-op,53,316,"Adventure, Simulation, Action, Strategy",,
Geometry Dash,93,391958,"2D, Platformer",,
Medieval Dynasty,90,37106,"Crafting, Building, RPG, Simulation, Survival, Sandbox",,
Journey,94,31211,"Adventure, Simulation",,
Mystopia,71,12,"Sandbox, Building",,
